[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=25&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=26&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=18&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=28&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=27&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=30&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=29&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=32&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=33&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=37&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=31&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=35&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=36&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=34&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=39&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=40&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=38&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=43&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=44&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=45&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=42&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=41&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] WARNING // api.api_connexion // ThreadPoolExecutor-0_1// Backing off 0.9 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=48&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] WARNING // api.api_connexion // ThreadPoolExecutor-0_4// Backing off 0.3 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=47&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] WARNING // api.api_connexion // ThreadPoolExecutor-0_5// Backing off 0.6 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=46&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] WARNING // api.api_connexion // ThreadPoolExecutor-0_6// Backing off 0.7 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=52&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=51&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=49&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=54&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=53&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=50&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=60&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:21] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=59&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=64&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=56&batch_size=50&jurisdiction=cc&date_start=2023
